refGene	Sample_279_CF	Sample_571_CF	Sample_665_CF	Sample_812_CF	Sample_223_CM	Sample_487_CM	Sample_511_CM	Sample_620_CM	Sample_324_DF	Sample_338_DF	Sample_566_DF	Sample_252_DM	Sample_323_DM	Sample_763_DM
MACF1	90321	99561	171793	120448	167999	115585	94000	189809	107909	150035	127488	110231	131336	138931
CSMD2	4	76	68	37	73	169	24	24	64	139	63	176	63	1251
RNF220	2081	1403	2272	2076	2875	1939	1334	2802	2402	1724	1731	1798	2177	2258
TRABD2B	24	26	212	9	0	2	144	53	43	369	152	89	7	36
PTPRF	16341	18096	48079	18023	24240	16579	31533	34721	17956	22366	30931	18285	22710	27393
GPBP1L1	6066	5871	8570	7025	9334	8633	6077	12933	7329	8313	6395	7903	8907	8363
TCEANC2	759	680	785	604	924	743	497	1208	808	965	761	771	1018	844
DAB1	0	4	2	10	1	1	0	20	4	4	4	0	0	4
RAB3B	25014	18137	56253	30982	67748	27537	28185	54914	33094	39262	30723	26220	32454	34582
SCP2	4691	2834	6184	4154	7459	4029	4527	8417	4876	6274	4461	4945	6666	4946
FAF1	2301	1360	1983	1534	3027	1668	1210	3290	2060	1257	1459	1290	2182	1811
USP24	13846	9622	15217	10743	17493	13323	7507	24334	14244	13046	11165	12147	16704	13559
FGGY	167	264	339	205	240	228	255	458	178	234	191	178	208	299
CACHD1	972	986	1826	858	2071	1176	1025	3527	2210	1452	1415	1182	1293	1493
USP1	8319	2377	4528	4391	13782	5411	1456	7312	7496	3130	3014	4384	7254	3351
ITGB3BP	694	301	399	457	825	391	179	933	420	246	345	409	769	317
LEPR	1057	1117	2218	2743	1561	1340	1597	3723	1215	1309	1194	1029	2307	2898
NFIA	1562	2464	1122	2897	5207	4244	365	686	2004	810	1657	674	2664	2289
NEGR1	5171	5847	2961	5459	7719	4210	2287	6521	4912	3371	2528	2550	7496	5094
LRRC7	633	179	173	25	778	143	22	47	262	1249	308	460	44	63
ST6GALNAC3	257	120	432	200	518	507	102	530	437	277	300	335	227	638
PIGK	2997	1857	3515	2347	4745	2972	1903	6104	2752	2313	1964	2230	4566	3363
CLCA4	1	0	2	0	0	1	1	1	1	3	0	4	5	0
LRRC8C	3578	1566	3061	2378	5113	3645	605	3574	4309	1814	1992	2178	3988	2264
PKN2-AS1	36	16	27	27	29	27	21	53	26	39	19	33	30	28
DDAH1	10178	6616	13339	8246	31899	8925	5383	10832	17648	10393	9113	7801	12967	7023
LOC729970	171	130	274	136	215	257	97	321	182	411	145	221	248	201
LOC102723661	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM69A	1135	746	1245	1294	1460	1071	751	1335	1236	999	1084	833	1214	1245
GCLM	3804	975	3285	1629	4857	3063	2400	4645	6258	4316	2422	3525	3753	4120
NTNG1	3924	1666	3912	1276	1495	1433	1093	5415	2576	2800	1874	1947	4938	2715
PHTF1	2428	2508	3563	2993	3827	4055	1745	4981	2311	3272	3228	3217	3957	3828
GNAI3	10204	6020	11274	7460	19799	9444	6366	17487	13433	8420	6773	7492	14090	9278
KCNA2	0	0	0	0	0	2	0	0	4	0	0	2	0	0
RAP1A	1980	1565	2330	1965	2963	2045	1177	2916	2389	1786	1367	1389	2303	1985
RHOC	22646	17618	38726	14032	38068	20165	26782	28982	29553	23978	26333	18789	32130	21804
NOTCH2	65740	77022	104506	87599	82191	77094	43861	98682	90379	80514	100780	63712	85505	96943
WDR3	4994	2659	4103	4228	8648	4350	1443	5317	5874	2795	2685	2744	4501	3209
LOC101927429	30	32	31	35	31	35	33	49	19	34	29	17	39	21
OTUD7B	3417	3204	4341	3375	4399	3868	2548	5519	4455	4419	3552	4104	4092	4057
NBPF9	421	498	617	616	515	679	339	554	452	720	640	565	525	769
PDZK1	260	241	169	307	267	421	314	1760	274	269	149	311	231	248
NBPF20	1512	1617	1577	1569	954	1473	958	1256	1151	1610	1230	1155	1318	1447
NBPF8	5534	4600	8095	6034	4654	5090	4147	4973	5578	9042	6441	7303	5372	8781
NBPF25P	810	967	1101	1082	580	1179	490	574	747	1351	1263	834	778	1312
NBPF10	5342	6472	7109	8280	4685	7921	4184	4425	5345	8904	9458	6069	6367	9845
TPM3	31254	17387	33546	16541	55619	23904	14787	35779	35763	22583	21015	18902	41661	18964
SMG5	9474	7663	13571	8100	12770	7787	5919	13044	12261	11098	8307	10883	11042	9492
GBAP1	1576	1908	3811	1463	2244	1588	1609	3044	2489	2773	2991	2017	2800	2688
LOC440700	0	5	2	0	0	5	0	1	0	0	3	3	2	2
FCGR2A	8	6	2	8	0	22	0	32	6	0	13	8	5	16
PBX1	528	1104	670	788	929	1065	450	3058	700	386	751	495	872	1301
DNM3	1615	4244	949	3485	2651	7571	901	2556	1504	2175	1892	1229	2996	1544
TNFSF18	4	8	16	41	14	49	2	53	26	41	117	28	23	75
MROH9	7	0	0	1	0	1	3	5	9	11	8	3	1	0
TNN	0	0	0	0	0	8	2	0	0	4	0	4	0	4
BRINP2	6	0	2	2	0	10	0	12	8	0	0	7	20	6
ACBD6	1673	1580	1395	1448	2464	1705	1634	2266	1987	1276	1686	1561	2027	1750
SMG7	3620	3382	3478	3109	4602	4880	2168	5991	4475	3920	3637	4327	4676	3887
SOAT1	10712	3976	12029	4647	18183	6026	6110	16457	11310	9908	7018	8297	11120	8010
RASAL2	7402	7307	8446	6161	13654	7592	5073	11479	7726	7737	8230	5762	9427	8111
RGSL1	0	2	2	0	0	0	0	1	0	0	0	0	0	0
PTGS2	668	1166	658	405	318	927	538	647	2244	827	1959	1114	527	2981
ZBTB41	3428	3295	3929	3638	5945	5486	2771	8994	4447	4672	3841	4718	4913	5057
NEK7	9235	6690	9325	6019	44741	8361	3060	9420	11664	7411	7353	6938	10789	8036
PPP1R12B	1490	1768	1631	1860	1454	2189	1564	1526	1406	1861	1905	2253	1248	1825
SRGAP2D	1471	1212	1949	1722	2181	1995	1363	3213	1643	1566	1557	1518	1731	2319
SRGAP2	2673	3387	4215	3972	3239	3160	2428	4353	3193	3009	3203	2878	3653	5013
BATF3	68	36	62	187	48	94	140	53	85	30	55	33	37	115
USH2A	273	205	170	375	167	258	87	296	167	207	153	220	155	124
ESRRG	98	51	79	89	12	194	126	475	37	73	143	146	88	127
HHAT	1718	2171	4333	2661	2374	1886	2161	2993	1946	2858	2984	2567	2726	2826
RNU5F-1	3	1	3	6	2	9	2	4	3	2	5	1	3	5
MIR548F3	34	30	26	108	49	29	17	22	21	12	55	19	17	34
EPRS	16948	13140	21390	16287	31611	18419	10661	33733	20885	18427	13278	13848	24882	22932
DNAH14	1924	2085	1852	1687	1163	1879	1948	2060	2011	2258	1779	2334	1500	1621
NUP133	4181	2765	4279	3711	8297	4124	1884	8212	5027	3413	3064	3256	5512	3975
LINC00582	5	17	5	10	0	8	11	3	8	13	8	17	7	1
TRIM11	848	828	1461	880	1126	1263	997	1311	1202	1177	1060	1162	1100	1178
TSNAX-DISC1	9	21	13	8	0	18	5	6	20	16	2	16	3	3
LOC100130331	34	18	44	54	70	38	50	64	38	35	38	26	56	39
RGS7	66	16	21	36	219	23	15	17	73	32	29	20	49	23
MTR	7393	6008	8347	6649	12882	8051	5575	11663	7633	8341	7065	6712	10092	7633
LYST	5655	5336	4307	3769	5698	5169	5223	9000	4782	6883	6913	6699	8377	6821
KIF26B	295	1453	1044	593	514	346	735	782	915	838	913	640	586	814
SMYD3	558	598	957	744	791	593	508	785	1240	1252	800	2749	723	715
ZNF496	3317	3188	4179	4016	4402	3894	3258	6289	3713	3434	3162	3179	3973	3920
OR14C36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01128	1088	854	1455	856	1825	877	752	1114	1600	2309	819	1171	1010	953
AURKAIP1	3157	2089	3962	2167	2926	2213	3171	3744	3357	1947	2766	2168	3527	2716
NADK	3570	3140	5419	3304	5173	3022	4437	4577	4542	3572	3693	3599	3941	3151
CDK11B	2341	3210	2570	2158	2072	2214	2396	2391	2471	1824	2468	2111	2424	2099
FAM132A	6	58	27	30	15	43	87	19	18	9	26	25	17	24
TNFRSF14	46	126	124	122	46	215	316	121	125	343	239	815	165	116
TTC34	7	8	3	19	0	10	18	1	5	7	3	2	3	4
SKI	3057	3487	4952	3895	3072	3998	3247	4093	2786	3104	4023	2746	4311	3888
CCDC27	2	5	1	7	0	2	3	1	2	0	2	2	2	1
DFFB	461	412	396	431	505	427	155	380	438	274	274	294	400	380
MEGF6	749	522	2752	986	444	955	3949	2327	382	1791	1977	1183	845	1090
AJAP1	2	0	48	0	44	0	4	18	4	94	82	4	16	60
KCNAB2	73	350	107	295	151	243	241	197	246	258	497	317	221	493
NPHP4	519	737	666	818	474	789	582	549	624	541	706	696	418	746
PLEKHG5	2077	4235	3711	2720	1534	3134	5789	2504	1712	2609	3430	2615	2259	2715
ACOT7	1813	1138	2205	1314	2169	1691	1654	2420	1159	1546	1676	1149	2719	1949
PER3	956	471	533	624	875	566	240	694	857	195	329	586	637	628
TNFRSF9	352	32	1782	118	10	373	1290	1144	796	1506	848	1086	237	403
RERE	6140	7238	6235	6624	4462	6583	5640	8631	5435	6242	6798	5472	7148	6723
H6PD	4171	5477	7498	5340	3570	6537	7109	7883	5776	8088	6434	5471	5878	7406
GPR157	42	35	91	63	44	61	91	46	40	80	100	47	40	39
UBE4B	4403	4429	5871	4054	6630	6138	2862	8400	5353	5454	4870	4386	6201	5970
KIF1B	12024	11641	15999	11978	22567	14410	8652	17466	16131	12322	14266	9677	15146	13679
CLSTN1	9278	9878	24039	9380	13413	11815	16711	19040	11474	13897	14285	10822	14952	18654
CTNNBIP1	965	1016	1494	877	1473	1388	1099	2540	1254	1204	1059	772	2129	1090
CASZ1	283	136	416	81	126	164	670	239	138	287	322	274	159	154
C1orf127	0	2	0	0	0	0	0	0	0	0	0	8	0	0
EXOSC10	6900	4300	5916	4684	10008	5201	3812	8442	7600	4877	4543	4286	8586	4892
PEX14	474	638	749	437	340	485	1096	459	533	504	733	544	379	553
MTOR	11071	8273	14869	9825	14299	10455	7298	17136	14291	11718	10307	10443	15000	13226
VPS13D	12284	11338	14804	13698	14572	13177	8446	17955	12917	13834	11461	11574	14413	13495
TNFRSF8	18	14	16	4	10	2	0	4	46	16	0	7	6	2
AGTRAP	824	1006	1612	880	806	928	831	1551	1253	899	1376	951	1314	2271
MFN2	10910	6307	11808	6358	16642	7554	6451	13261	13524	8641	8216	7688	14589	8128
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	4	23	12	123	0	33	0	12	14	5	12	7	9	45
KAZN	371	590	908	545	1125	439	1050	1693	584	950	639	412	815	715
TMEM51-AS1	36	11	140	28	24	13	203	145	31	199	96	62	28	83
FHAD1	14	14	10	7	6	4	12	30	14	33	23	56	13	13
DNAJC16	2562	2476	3869	2844	4590	3278	1877	6493	4039	3659	2413	3195	3997	3838
SPEN	11398	9938	12898	10712	11419	14166	9332	16601	11428	12640	10858	10143	12156	11949
FBXO42	2426	2416	3052	2505	4042	2768	1807	3609	3640	2938	2510	3156	3103	2718
ESPNP	0	0	0	0	0	0	2	1	0	0	0	0	8	0
PADI2	3137	549	8137	1704	6698	208	514	514	1366	4866	2917	3143	738	696
PADI1	614	398	532	264	905	193	105	320	755	381	250	239	448	307
MFAP2	2374	7471	3514	5918	6966	4699	3025	6242	4350	3527	4303	2339	5477	4697
NBPF1	7854	5048	7237	4765	7659	7484	4455	11314	8334	9709	7311	9327	7946	8197
ARHGEF10L	1084	1528	1555	1208	1083	1043	2507	1549	1195	1275	1601	1208	1235	1515
ACTL8	0	0	0	0	2	0	0	0	2	2	0	0	0	0
IGSF21	0	0	0	0	0	0	0	0	0	0	0	0	2	0
UBR4	54324	45555	63144	49108	65961	62636	39685	67611	59080	72843	57920	56540	67503	67571
CAPZB	8280	7385	11378	7977	12786	8569	5778	10600	9493	8787	7439	5794	10316	8909
PAX7	0	0	0	0	6	0	0	0	0	2	0	6	0	0
IFFO2	3396	2564	7212	2993	11399	3623	2564	10807	4780	4206	6201	3035	6405	3376
TMCO4	706	426	578	384	523	318	637	899	591	443	419	606	597	546
LINC01141	0	0	0	0	0	2	0	0	0	1	2	2	0	0
EIF4G3	8385	9662	13531	11466	11274	11868	7988	14830	9930	11699	10045	9524	10854	14133
ALPL	569	70	383	363	36	134	258	150	1493	274	147	154	517	706
HP1BP3	12108	10270	10895	11994	13726	12161	5810	19219	9238	9364	8364	8339	14353	11797
ECE1	13777	10131	38532	13644	9481	13107	26343	20090	11966	22073	16891	12864	19663	22682
LDLRAD2	98	85	150	113	28	27	300	58	111	76	91	94	37	81
ZBTB40	5765	6481	5544	5132	7904	5890	3626	5606	6302	6083	6824	6918	5804	6540
HSPG2	13327	16022	75976	17791	5639	11772	102559	31359	14097	34544	39335	20793	23590	32700
CDC42	18252	12882	22179	13580	39322	15756	11792	34963	26433	15604	14328	12563	27483	16998
TCEA3	178	279	129	272	154	326	97	174	284	113	227	240	226	235
E2F2	647	130	282	362	1037	255	35	152	420	109	149	153	377	142
LUZP1	12826	14395	22189	13899	25499	17084	10691	23812	20365	16838	18725	13420	20010	20246
NIPAL3	1820	2945	4974	1856	8855	2470	2436	4660	5784	4864	5653	3633	4351	3222
IFNLR1	257	40	865	189	296	151	426	809	415	517	422	668	322	549
NCMAP	2	7	30	16	0	45	43	167	2	14	5	6	0	28
TMEM57	1664	1894	3042	1976	3126	3101	2318	5359	2589	3654	3050	2429	3721	2730
MAN1C1	5	33	8	18	12	0	8	24	6	8	14	4	10	9
RHCE	19	15	9	24	9	24	11	24	21	28	22	23	13	37
LIN28A	22	12	10	6	4	8	0	8	10	14	13	15	6	2
SH3BGRL3	5986	6784	10613	3824	9653	6252	5732	7386	9476	7120	7372	4892	8873	8024
RPS6KA1	2279	1109	3765	1269	1931	1345	2494	4029	2573	2746	1731	2473	3001	2262
TMEM222	1901	1384	2120	1117	2046	1213	1218	1695	2531	1635	1763	1274	1796	1399
WASF2	7948	7295	10323	7089	9406	9208	5950	15723	9170	8630	7673	7562	12341	9381
AHDC1	969	2371	1650	1325	565	1202	1953	1023	674	800	1427	1020	946	1005
PHACTR4	4931	3714	5649	3493	6476	4691	3971	7852	5345	5453	4336	4740	5608	4110
SNHG3	4098	2000	3552	3517	3185	2910	2160	2468	3494	2029	2441	2303	3326	3922
TAF12	902	725	1014	775	1517	800	859	1615	1602	873	774	769	1094	1088
RCC1	4980	1580	4000	2645	4875	2421	1635	3621	4074	2706	2204	2453	4174	2692
SRSF4	4730	4151	4963	4568	4791	5077	3665	5472	3982	3911	4329	4052	4943	4922
PTPRU	1717	1893	3353	1784	1485	1461	3587	4473	1807	1618	1760	1691	3056	3656
MATN1-AS1	26	50	27	56	32	72	74	47	42	71	31	117	38	81
MATN1	10	10	8	20	14	18	7	13	13	8	14	14	14	24
PTP4A2	13252	8876	13318	11659	22448	13624	9272	19251	15738	12673	11705	10490	16570	14487
ZBTB8A	847	930	1027	1122	1881	1878	767	3496	1085	1308	997	1289	1482	1301
RNF19B	1391	1698	1910	966	1695	1615	2020	2182	2091	1760	2887	1600	1768	2477
S100PBP	2816	2866	3170	3287	4079	3604	2222	4425	3628	2867	2510	3259	3306	3300
KPNA6	14247	10891	19441	13440	25807	13323	8650	19585	19436	13585	12182	11488	19555	16086
SYNC	1900	1548	2786	903	3326	905	1134	1573	3779	2050	1744	1463	2145	1675
HDAC1	4695	3190	6062	4553	5283	4644	3372	7106	5111	4835	3945	4478	5346	4682
LOC101929464	32	71	8	46	4	54	6	12	15	9	14	14	15	21
ZSCAN20	807	992	1247	1111	1119	1107	593	1581	1371	1452	858	1330	1043	1131
PHC2	8362	10589	11866	11649	6451	11441	6672	11509	8438	8104	9740	6164	10581	12043
CSMD2-AS1	0	0	0	6	0	2	0	0	0	2	2	0	0	22
DLGAP3	8	6	8	5	3	7	6	2	5	5	11	9	26	4
AGO3	1536	1598	1793	1938	2185	2484	1398	2749	1846	2023	1507	1901	1765	2110
COL8A2	121	188	426	1749	223	288	343	2202	266	412	328	148	1598	1540
AGO4	2456	2980	3034	2636	2787	3281	2674	4389	2475	3845	3264	3077	3472	3295
ZMYM4	9264	8116	9635	9019	12432	10914	4692	17749	9962	8285	7389	7937	11249	10200
KIAA0319L	3691	4713	7959	5972	5439	5002	5011	7081	5254	5017	5133	4174	5295	7050
TFAP2E	73	90	69	87	62	64	40	49	61	48	47	79	36	55
STK40	1571	1480	2798	1455	1954	1979	1936	2273	1404	1742	2073	1792	1923	1360
GRIK3	0	0	0	0	1	0	0	0	0	0	0	4	0	0
YRDC	1508	880	1353	1022	2759	1312	653	1167	2170	1001	984	961	1322	1181
SNIP1	1195	1084	1144	1175	1809	1523	1096	1865	1496	1373	1338	1444	1507	1377
INPP5B	1476	1614	1414	1638	1662	2168	1193	2944	1649	1406	1634	1969	1733	2093
RRAGC	2997	2796	3805	1722	4324	3131	2101	7487	4895	5228	3752	4079	6361	3837
BMP8B	54	72	92	92	71	74	104	168	124	108	120	79	65	101
BMP8A	126	215	196	151	63	181	228	177	219	203	203	265	155	187
RLF	2843	3067	2876	4481	5637	4286	1875	6221	3630	2954	2590	3412	3769	4151
SCMH1	2331	2072	1757	2099	1715	1913	1030	2570	1753	1764	1741	1888	1761	1527
NFYC-AS1	193	162	156	243	90	161	114	226	219	222	167	204	182	286
KCNQ4	123	33	131	40	19	51	842	203	63	359	184	131	87	94
HIVEP3	1734	2381	1975	1926	1718	2493	1380	2141	1885	1642	2177	1298	2405	2174
FOXJ3	3276	3404	3999	3882	5643	4584	2718	5188	4338	3613	3580	3695	4129	4704
RIMKLA	6	13	22	4	38	12	12	26	20	22	16	62	18	12
CFAP57	47	51	34	53	16	63	33	83	85	46	16	73	52	60
SZT2	5165	7374	5910	7731	4595	7288	6217	5334	6187	5951	6121	5997	5331	6464
TMEM269	5	14	1	10	8	8	1	6	7	7	3	7	5	7
TIE1	39	70	26	311	28	530	107	120	29	131	63	48	20	59
ERI3-IT1	105	147	53	188	58	144	132	32	63	88	94	106	46	63
ERI3	1344	1397	1525	1650	1733	1334	1315	1943	1719	1125	1349	1036	1717	1569
ST3GAL3	632	626	700	799	754	653	610	772	746	586	565	541	633	738
IPO13	2748	2310	4351	2269	3904	2492	2447	3836	4222	3149	3033	2975	3889	2930
KDM4A-AS1	129	167	104	100	67	100	153	74	138	99	86	116	115	58
KIF2C	6039	918	2971	1777	6401	2782	238	4860	3167	1778	1607	2230	5921	1872
EIF2B3	1511	875	1153	1099	2088	1265	605	1302	1529	878	857	833	1419	1086
TESK2	171	204	166	236	149	276	131	463	148	198	184	235	158	387
ZSWIM5	104	146	56	84	155	155	32	120	88	107	89	72	107	106
MAST2	5031	7000	6736	5519	4924	5599	5425	5355	4940	4496	5320	4449	4981	5785
PIK3R3	1477	1316	1679	1290	1669	1594	631	3725	1720	1354	917	1350	2320	938
MKNK1	1295	866	1365	809	1171	896	1758	1379	1558	1503	1336	1496	1363	1069
POMGNT1	6256	4860	8929	5519	7403	5206	5256	8212	7930	5196	6142	4572	7839	6649
CYP4X1	46	9	66	0	1	2	12	17	5	34	11	19	26	4
CYP4Z1	6	17	14	14	4	2	23	5	8	17	10	10	7	9
CYP4Z2P	0	2	3	4	0	0	6	0	0	0	5	1	0	0
CMPK1	9077	6308	13162	9426	21276	9081	8617	12779	13445	8747	8472	6828	12679	11457
SKINT1L	0	3	11	5	0	0	5	3	2	8	1	6	2	6
SPATA6	375	659	424	463	305	677	317	769	366	383	365	422	474	578
ELAVL4	0	0	0	0	0	0	2	2	2	0	0	2	0	0
TTC39A	238	219	479	361	112	326	532	960	274	366	325	486	279	304
OSBPL9	6438	7932	7934	8581	11566	9813	5399	13793	8425	7538	7062	7027	8717	9802
EPS15	5343	4689	5655	5876	9650	6024	4284	11568	6379	5524	4727	4629	7559	7346
NRDC	10198	9186	12114	10912	18242	12120	6517	17027	12389	9806	9870	8507	13543	13928
ZFYVE9	2706	2796	3142	3142	3912	2876	1611	4443	2586	2891	2765	2780	2967	3960
ZCCHC11	3521	3671	3363	4938	4043	4648	3460	6080	3551	3780	3443	4254	3642	5151
ZYG11B	6095	4158	6314	5461	10892	6082	2979	9915	7500	5420	4446	4502	7448	5744
ZYG11A	613	124	271	219	583	485	206	895	197	227	306	560	347	262
CC2D1B	5897	5058	7185	4416	6006	5490	4097	5721	7222	6017	5467	5060	6557	5345
GLIS1	457	349	538	316	79	306	566	263	329	239	312	525	126	296
NDC1	5721	1351	3914	2334	7397	2648	877	6042	4648	1828	1793	2554	5293	2169
LRP8	5323	2539	3785	2430	10174	6674	1289	3348	6459	4649	3961	2588	7016	3587
HSPB11	974	429	699	648	1331	609	489	1091	876	527	431	575	916	672
ACOT11	59	141	93	48	46	48	38	52	98	64	46	41	42	51
MROH7-TTC4	0	0	0	0	0	2	0	0	0	0	0	0	0	3
SSBP3	932	1169	1095	1093	959	1217	549	1406	1033	767	968	663	901	992
CYB5RL	301	210	192	200	228	244	131	272	362	220	184	279	278	270
PLPP3	1210	405	1136	486	1116	349	1253	1017	1582	931	827	636	761	2388
C1orf168	48	12	28	45	18	34	49	51	36	48	8	68	40	30
C8B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAA2	4762	1270	5769	3187	4899	2589	4543	5894	3291	5046	2426	4190	4016	3333
DAB1-AS1	0	0	0	4	2	0	0	8	0	0	3	0	0	6
OMA1	507	602	889	954	518	501	416	1226	746	573	483	460	601	945
LINC01358	8	5	6	28	8	28	2	8	4	6	6	17	11	12
HOOK1	636	195	3993	183	1017	928	2276	9236	1165	2453	1552	2860	1898	1451
LOC101926964	0	0	0	0	0	0	0	0	0	0	3	0	0	0
PATJ	2839	2247	5337	2403	3177	2635	5231	11497	2796	5216	3354	4386	3346	4310
KANK4	4	2	2	6	40	8	0	6	2	0	0	6	2	1
LINC00466	0	0	0	0	2	0	0	0	4	0	0	0	0	0
DOCK7	7532	6710	9598	5678	16481	8873	5064	11334	9099	8100	7201	4740	9002	8512
ATG4C	692	447	663	879	1312	774	337	1194	790	502	436	631	801	772
PGM1	2645	2689	3623	3209	5230	2568	2224	4466	3932	2971	2560	2335	3768	3532
ROR1	4345	3308	6708	2611	11248	4761	2008	5553	6290	5151	3657	3240	7348	3604
RAVER2	1488	1074	1390	1444	2115	1242	824	2916	1331	1210	880	1098	1805	1422
JAK1	16889	10478	40288	14850	25003	16422	27675	53731	32062	26805	21175	19975	29214	34118
DNAJC6	1285	362	1647	362	1553	608	1826	1783	1212	1585	937	1200	1207	618
AK4	6636	3872	10781	7000	12722	2077	8026	6706	13982	6949	6488	5927	7500	6817
PDE4B	149	110	209	105	180	166	279	162	266	83	177	89	224	458
TCTEX1D1	32	55	13	40	42	70	9	21	7	17	11	15	14	6
WDR78	163	217	297	238	196	267	211	736	400	312	213	414	324	279
SLC35D1	3150	2659	3448	2810	6458	2984	1123	3817	5005	2143	2608	2034	3645	3176
SERBP1	25090	11828	19901	19928	38518	18120	8155	30493	24877	11740	12393	13585	26170	16337
IL23R	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GNG12	30372	18479	36615	21030	66729	23446	12903	39642	34177	24250	21020	19751	41221	24034
GNG12-AS1	224	294	211	288	223	430	76	157	196	213	288	150	196	223
WLS	5322	6211	6371	5372	10339	8033	2821	6957	5907	5467	6693	4354	7391	6368
DEPDC1	6254	913	3477	1958	6461	2579	214	6164	1928	1769	1506	2700	5516	2168
LRRC40	2317	1188	2043	1905	3990	2197	1175	3516	2410	1419	1484	1435	2621	1549
ANKRD13C	2860	1998	2485	2252	4009	2591	2408	4032	3400	2815	2329	3452	2735	2784
PIN1P1	13	25	22	16	20	6	14	18	18	15	22	16	10	28
ZRANB2-AS2	11	22	12	10	21	20	22	47	40	29	13	28	17	24
PTGER3	8	10	18	2	20	29	3	57	22	37	11	18	13	13
LINC01360	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPGT-TNNI3K	0	0	0	0	0	0	0	1	7	0	0	2	0	0
LRRIQ3	26	26	19	31	34	40	6	164	17	24	21	76	79	65
TNNI3K	1	0	0	1	0	1	0	0	2	0	0	1	1	1
ERICH3	13	2	9	8	0	13	8	48	2	6	0	10	21	4
SLC44A5	123	574	163	183	244	369	1202	122	184	128	914	213	156	904
MSH4	38	20	36	42	24	44	42	24	32	36	47	121	21	26
ST6GALNAC5	1079	1554	1124	3998	3752	1159	288	301	6396	581	1211	808	499	1904
NEXN	4278	4256	4698	5124	10012	4556	2887	6336	6567	4548	3711	3177	5727	4148
GIPC2	203	62	184	109	274	69	36	154	224	332	65	131	193	97
MIGA1	2604	1992	3626	2449	5390	2429	2826	2761	4386	3143	2485	2696	2984	2845
